lang,type,N,reps,total_ns,avg_ns,checksum
Java,signed_char,10,2000000,25739877,12.87,-374030363170000
Java,signed_char,100,200000,18312049,91.56,-374030292970000
Java,signed_char,1000,20000,8590594,429.53,-374030273470000
Java,signed_char,10000,2000,13267600,6633.80,-374030284084000
Java,signed_char,100000,200,71572012,357860.06,-374030285408400
Java,signed_char,1000000,20,10925060,546253.00,-374030285402940
Java,short,10,2000000,21260767,10.63,-373052111402940
Java,short,100,200000,11063354,55.32,-373001593002940
Java,short,1000,20000,8465149,423.26,-373096495202940
Java,short,10000,2000,9092322,4546.16,-373060136378940
Java,short,100000,200,9039501,45197.51,-373023808816740
Java,short,1000000,20,9934515,496725.75,-373026409628380
Java,int,10,2000000,18106657,9.05,-1605160614955628380
Java,int,100,200000,11498739,57.49,-1576671213775628380
Java,int,1000,20000,8830798,441.54,-1333369840354388380
Java,int,10000,2000,8379253,4189.63,-1341280419251342380
Java,int,100000,200,8492108,42460.54,-1348761059120980180
Java,int,1000000,20,13906564,695328.20,-1348323749234119280
Java,float,10,2000000,36864556,18.43,-2399980.980814
Java,float,100,200000,29449086,147.25,-2113224.255706
Java,float,1000,20000,26668832,1333.44,-2330813.528402
Java,float,10000,2000,33152548,16576.27,-2279918.255437
Java,float,100000,200,32706777,163533.89,-2278106.056705
Java,float,1000000,20,32776719,1638835.95,-2282196.871913
Java,double,10,2000000,16255825,8.13,-1936218.914900
Java,double,100,200000,16317324,81.59,-1973413.745685
Java,double,1000,20000,23984447,1199.22,-1890952.770980
Java,double,10000,2000,28222388,14111.19,-1839851.544167
Java,double,100000,200,25888502,129442.51,-1848738.979609
Java,double,1000000,20,45263589,2263179.45,-1838054.414199
